#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck unbinned    ,          ,      16.0 ,           ,     621.2920 ,     150.9770 ,     215.7980 ,             
Planck unbinned    ,          ,      17.0 ,           ,    1035.3781 ,     236.1670 ,     332.0950 ,             
Planck unbinned    ,          ,      18.0 ,           ,     674.5930 ,     156.3410 ,     216.8720 ,             
Planck unbinned    ,          ,      19.0 ,           ,     951.6420 ,     211.5540 ,     290.9970 ,             
Planck unbinned    ,          ,      20.0 ,           ,     659.8630 ,     144.7800 ,     197.6370 ,             
Planck unbinned    ,          ,      21.0 ,           ,     601.9240 ,     136.0500 ,     185.2580 ,             
Planck unbinned    ,          ,      22.0 ,           ,     605.2950 ,     131.6980 ,     177.0410 ,             
Planck unbinned    ,          ,      23.0 ,           ,     748.5190 ,     155.9380 ,     208.7000 ,             
Planck unbinned    ,          ,      24.0 ,           ,     850.4960 ,     175.6000 ,     233.2160 ,             
Planck unbinned    ,          ,      25.0 ,           ,     814.2680 ,     169.4330 ,     224.3060 ,             
Planck unbinned    ,          ,      26.0 ,           ,     823.8030 ,     164.3980 ,     215.3550 ,             
Planck unbinned    ,          ,      27.0 ,           ,    1004.0220 ,     190.2930 ,     247.8790 ,             
Planck unbinned    ,          ,      28.0 ,           ,    1149.8890 ,     215.0900 ,     279.0780 ,             
Planck unbinned    ,          ,      29.0 ,           ,     979.5670 ,     183.0710 ,     236.6550 ,             
Planck binned      ,          ,      47.7 ,           ,    1479.3356 ,      50.7655 ,      50.7655 ,             
Planck binned      ,          ,      76.5 ,           ,    2034.9684 ,      54.7102 ,      54.7102 ,             
Planck binned      ,          ,     105.9 ,           ,    2955.3940 ,      64.9766 ,      64.9766 ,             
Planck binned      ,          ,     135.6 ,           ,    3869.5139 ,      76.9144 ,      76.9144 ,             
Planck binned      ,          ,     165.4 ,           ,    4889.4648 ,      86.5856 ,      86.5856 ,             
Planck binned      ,          ,     195.3 ,           ,    5464.1094 ,      90.5533 ,      90.5533 ,             
Planck binned      ,          ,     225.2 ,           ,    5793.4395 ,      87.1349 ,      87.1349 ,             
Planck binned      ,          ,     255.1 ,           ,    5372.8838 ,      76.9384 ,      76.9384 ,             
Planck binned      ,          ,     285.0 ,           ,    4627.6777 ,      62.5199 ,      62.5199 ,             
Planck binned      ,          ,     315.0 ,           ,    3604.2385 ,      47.1589 ,      47.1589 ,             
Planck binned      ,          ,     344.9 ,           ,    2631.2002 ,      33.8762 ,      33.8762 ,             
Planck binned      ,          ,     374.9 ,           ,    2033.0594 ,      24.8191 ,      24.8191 ,             
Planck binned      ,          ,     404.9 ,           ,    1753.3625 ,      20.7109 ,      20.7109 ,             
Planck binned      ,          ,     434.8 ,           ,    1787.5790 ,      20.6714 ,      20.6714 ,             
Planck binned      ,          ,     464.8 ,           ,    2162.0464 ,      22.7524 ,      22.7524 ,             
Planck binned      ,          ,     494.8 ,           ,    2422.0847 ,      24.9726 ,      24.9726 ,             
Planck binned      ,          ,     524.8 ,           ,    2573.4805 ,      25.9184 ,      25.9184 ,             
Planck binned      ,          ,     554.8 ,           ,    2546.2976 ,      25.0511 ,      25.0511 ,             
Planck binned      ,          ,     584.8 ,           ,    2360.6453 ,      22.7209 ,      22.7209 ,             
Planck binned      ,          ,     614.7 ,           ,    2095.4351 ,      19.8505 ,      19.8505 ,             
Planck binned      ,          ,     644.7 ,           ,    1884.6770 ,      17.5025 ,      17.5025 ,             
Planck binned      ,          ,     674.7 ,           ,    1813.1628 ,      16.4306 ,      16.4306 ,             
Planck binned      ,          ,     704.7 ,           ,    1883.1940 ,      16.7991 ,      16.7991 ,             
Planck binned      ,          ,     734.7 ,           ,    2097.1306 ,      18.1645 ,      18.1645 ,             
Planck binned      ,          ,     764.7 ,           ,    2318.7358 ,      19.7364 ,      19.7364 ,             
Planck binned      ,          ,     794.7 ,           ,    2464.5813 ,      20.7062 ,      20.7062 ,             
Planck binned      ,          ,     824.7 ,           ,    2521.9126 ,      20.5198 ,      20.5198 ,             
Planck binned      ,          ,     854.7 ,           ,    2394.1208 ,      19.0381 ,      19.0381 ,             
Planck binned      ,          ,     884.7 ,           ,    2083.3386 ,      16.5790 ,      16.5790 ,             
Planck binned      ,          ,     914.7 ,           ,    1740.7284 ,      13.7375 ,      13.7375 ,             
Planck binned      ,          ,     944.7 ,           ,    1418.6735 ,      11.1420 ,      11.1420 ,             
Planck binned      ,          ,     974.7 ,           ,    1172.9542 ,       9.2865 ,       9.2865 ,             
Planck binned      ,          ,    1004.6 ,           ,    1062.4047 ,       8.3799 ,       8.3799 ,             
Planck binned      ,          ,    1034.6 ,           ,    1047.8624 ,       8.3007 ,       8.3007 ,             
Planck binned      ,          ,    1064.6 ,           ,    1132.3519 ,       8.6858 ,       8.6858 ,             
Planck binned      ,          ,    1094.6 ,           ,    1211.0186 ,       9.1128 ,       9.1128 ,             
Planck binned      ,          ,    1124.6 ,           ,    1231.8722 ,       9.2605 ,       9.2605 ,             
Planck binned      ,          ,    1154.6 ,           ,    1205.7805 ,       8.9853 ,       8.9853 ,             
Planck binned      ,          ,    1184.6 ,           ,    1117.9266 ,       8.3317 ,       8.3317 ,             
Planck binned      ,          ,    1214.6 ,           ,     968.4222 ,       7.5451 ,       7.5451 ,             
Planck binned      ,          ,    1244.6 ,           ,     864.3979 ,       6.6432 ,       6.6432 ,             
Planck binned      ,          ,    1274.6 ,           ,     761.6060 ,       5.9859 ,       5.9859 ,             
Planck binned      ,          ,    1304.6 ,           ,     732.3397 ,       5.6867 ,       5.6867 ,             
Planck binned      ,          ,    1334.6 ,           ,     737.2903 ,       5.7180 ,       5.7180 ,             
Planck binned      ,          ,    1364.6 ,           ,     774.9258 ,       5.9409 ,       5.9409 ,             
Planck binned      ,          ,    1394.6 ,           ,     806.6254 ,       6.1724 ,       6.1724 ,             
Planck binned      ,          ,    1424.6 ,           ,     809.0571 ,       6.2563 ,       6.2563 ,             
Planck binned      ,          ,    1454.6 ,           ,     777.7511 ,       6.1114 ,       6.1114 ,             
Planck binned      ,          ,    1484.6 ,           ,     728.9436 ,       5.7454 ,       5.7454 ,             
Planck binned      ,          ,    1514.6 ,           ,     648.2886 ,       5.2426 ,       5.2426 ,             
Planck binned      ,          ,    1544.6 ,           ,     551.2861 ,       4.7239 ,       4.7239 ,             
Planck binned      ,          ,    1574.6 ,           ,     476.6010 ,       4.3008 ,       4.3008 ,             
Planck binned      ,          ,    1604.6 ,           ,     419.5413 ,       4.0444 ,       4.0444 ,             
Planck binned      ,          ,    1634.6 ,           ,     395.2115 ,       3.9683 ,       3.9683 ,             
Planck binned      ,          ,    1664.6 ,           ,     391.6578 ,       4.0342 ,       4.0342 ,             
Planck binned      ,          ,    1694.6 ,           ,     392.9475 ,       4.1736 ,       4.1736 ,             
Planck binned      ,          ,    1724.6 ,           ,     397.7358 ,       4.3167 ,       4.3167 ,             
Planck binned      ,          ,    1754.6 ,           ,     383.0117 ,       4.4159 ,       4.4159 ,             
Planck binned      ,          ,    1784.6 ,           ,     375.3911 ,       4.4573 ,       4.4573 ,             
Planck binned      ,          ,    1814.6 ,           ,     340.1395 ,       4.4589 ,       4.4589 ,             
Planck binned      ,          ,    1844.6 ,           ,     307.5393 ,       4.4575 ,       4.4575 ,             
Planck binned      ,          ,    1874.6 ,           ,     273.8595 ,       4.4935 ,       4.4935 ,             
Planck binned      ,          ,    1904.6 ,           ,     249.8469 ,       4.5965 ,       4.5965 ,             
Planck binned      ,          ,    1934.6 ,           ,     244.2463 ,       4.7776 ,       4.7776 ,             
Planck binned      ,          ,    1964.6 ,           ,     231.9131 ,       5.0287 ,       5.0287 ,             
Planck binned      ,          ,    1994.6 ,           ,     234.6590 ,       5.4284 ,       5.4284 ,             
Planck binned      ,          ,    2024.6 ,           ,     231.7449 ,       5.8688 ,       5.8688 ,             
Planck binned      ,          ,    2054.6 ,           ,     219.6601 ,       6.2002 ,       6.2002 ,             
Planck binned      ,          ,    2084.6 ,           ,     214.2527 ,       6.5332 ,       6.5332 ,             
Planck binned      ,          ,    2114.6 ,           ,     196.7167 ,       6.8739 ,       6.8739 ,             
Planck binned      ,          ,    2144.6 ,           ,     176.4313 ,       7.2379 ,       7.2379 ,             
Planck binned      ,          ,    2174.6 ,           ,     152.2271 ,       7.6442 ,       7.6442 ,             
Planck binned      ,          ,    2204.6 ,           ,     138.6711 ,       8.1097 ,       8.1097 ,             
Planck binned      ,          ,    2234.6 ,           ,     121.4592 ,       8.6454 ,       8.6454 ,             
Planck binned      ,          ,    2264.6 ,           ,     116.1552 ,       9.2556 ,       9.2556 ,             
Planck binned      ,          ,    2294.6 ,           ,     117.7689 ,       9.9386 ,       9.9386 ,             
Planck binned      ,          ,    2324.6 ,           ,     116.1294 ,      10.6905 ,      10.6905 ,             
Planck binned      ,          ,    2354.6 ,           ,     109.7147 ,      11.5086 ,      11.5086 ,             
Planck binned      ,          ,    2384.6 ,           ,     120.3614 ,      12.3927 ,      12.3927 ,             
Planck binned      ,          ,    2414.6 ,           ,      90.4516 ,      13.3433 ,      13.3433 ,             
Planck binned      ,          ,    2444.6 ,           ,     103.0810 ,      14.3820 ,      14.3820 ,             
Planck binned      ,          ,    2474.6 ,           ,      73.6744 ,      15.5114 ,      15.5114 ,             
Planck binned      ,          ,    2499.0 ,           ,      61.3291 ,      20.9398 ,      20.9398 ,             
SPT                ,          ,     675.0 ,           ,    1781.6611 ,      75.7569 ,      75.7569 ,             
SPT                ,          ,     725.0 ,           ,    1935.0271 ,      83.7750 ,      83.7750 ,             
SPT                ,          ,     775.0 ,           ,    2421.2600 ,      92.7486 ,      92.7486 ,             
SPT                ,          ,     825.0 ,           ,    2571.5693 ,      95.7619 ,      95.7619 ,             
SPT                ,          ,     875.0 ,           ,    2156.9150 ,      78.1801 ,      78.1801 ,             
SPT                ,          ,     925.0 ,           ,    1582.4032 ,      56.9222 ,      56.9222 ,             
SPT                ,          ,     975.0 ,           ,    1137.6923 ,      42.1524 ,      42.1524 ,             
SPT                ,          ,    1025.0 ,           ,    1060.8553 ,      39.0509 ,      39.0509 ,             
SPT                ,          ,    1075.0 ,           ,    1208.2634 ,      42.8313 ,      42.8313 ,             
SPT                ,          ,    1125.0 ,           ,    1186.1084 ,      43.0708 ,      43.0708 ,             
SPT                ,          ,    1175.0 ,           ,    1132.9056 ,      42.5261 ,      42.5261 ,             
SPT                ,          ,    1225.0 ,           ,     915.9998 ,      33.8159 ,      33.8159 ,             
SPT                ,          ,    1275.0 ,           ,     762.5866 ,      27.2686 ,      27.2686 ,             
SPT                ,          ,    1325.0 ,           ,     713.6295 ,      26.3086 ,      26.3086 ,             
SPT                ,          ,    1375.0 ,           ,     744.7643 ,      26.2771 ,      26.2771 ,             
SPT                ,          ,    1425.0 ,           ,     837.0838 ,      28.5795 ,      28.5795 ,             
SPT                ,          ,    1475.0 ,           ,     708.0078 ,      24.0057 ,      24.0057 ,             
SPT                ,          ,    1525.0 ,           ,     613.8763 ,      20.6152 ,      20.6152 ,             
SPT                ,          ,    1575.0 ,           ,     456.6466 ,      16.5211 ,      16.5211 ,             
SPT                ,          ,    1625.0 ,           ,     383.7339 ,      13.5834 ,      13.5834 ,             
SPT                ,          ,    1675.0 ,           ,     378.3770 ,      13.0789 ,      13.0789 ,             
SPT                ,          ,    1725.0 ,           ,     383.8064 ,      13.2343 ,      13.2343 ,             
SPT                ,          ,    1775.0 ,           ,     377.4570 ,      13.1356 ,      13.1356 ,             
SPT                ,          ,    1825.0 ,           ,     323.0682 ,      11.5917 ,      11.5917 ,             
SPT                ,          ,    1875.0 ,           ,     261.9843 ,       9.6892 ,       9.6892 ,             
SPT                ,          ,    1925.0 ,           ,     223.6721 ,       8.4903 ,       8.4903 ,             
SPT                ,          ,    1975.0 ,           ,     227.7105 ,       8.7586 ,       8.7586 ,             
SPT                ,          ,    2025.0 ,           ,     230.3269 ,       9.0041 ,       9.0041 ,             
SPT                ,          ,    2075.0 ,           ,     213.9971 ,       8.4773 ,       8.4773 ,             
SPT                ,          ,    2125.0 ,           ,     177.7838 ,       7.3624 ,       7.3624 ,             
SPT                ,          ,    2175.0 ,           ,     153.6451 ,       6.6271 ,       6.6271 ,             
SPT                ,          ,    2225.0 ,           ,     123.1886 ,       5.6811 ,       5.6811 ,             
SPT                ,          ,    2275.0 ,           ,     117.1173 ,       5.5502 ,       5.5502 ,             
SPT                ,          ,    2325.0 ,           ,     109.9112 ,       5.3800 ,       5.3800 ,             
SPT                ,          ,    2375.0 ,           ,     105.9703 ,       5.4772 ,       5.4772 ,             
SPT                ,          ,    2425.0 ,           ,      96.4824 ,       5.1211 ,       5.1211 ,             
SPT                ,          ,    2475.0 ,           ,      80.8901 ,       4.8567 ,       4.8567 ,             
SPT                ,          ,    2525.0 ,           ,      76.3484 ,       4.8543 ,       4.8543 ,             
SPT                ,          ,    2575.0 ,           ,      62.3751 ,       4.5246 ,       4.5246 ,             
SPT                ,          ,    2625.0 ,           ,      64.2679 ,       4.5752 ,       4.5752 ,             
SPT                ,          ,    2675.0 ,           ,      61.8857 ,       4.6455 ,       4.6455 ,             
SPT                ,          ,    2725.0 ,           ,      53.8231 ,       4.5592 ,       4.5592 ,             
SPT                ,          ,    2775.0 ,           ,      48.5818 ,       4.5524 ,       4.5524 ,             
SPT                ,          ,    2825.0 ,           ,      39.2247 ,       4.4426 ,       4.4426 ,             
SPT                ,          ,    2875.0 ,           ,      33.3673 ,       4.4122 ,       4.4122 ,             
SPT                ,          ,    2925.0 ,           ,      32.8118 ,       4.4797 ,       4.4797 ,             
SPT                ,          ,    2975.0 ,           ,      31.0819 ,       4.6032 ,       4.6032 ,             
SPT 3-G            ,          ,     775.0 ,           ,    2531.8900 ,      82.9000 ,      82.9000 ,             
SPT 3-G            ,          ,     825.0 ,           ,    2674.5900 ,      78.1100 ,      78.1100 ,             
SPT 3-G            ,          ,     875.0 ,           ,    2179.5500 ,      72.8700 ,      72.8700 ,             
SPT 3-G            ,          ,     925.0 ,           ,    1578.4600 ,      52.4500 ,      52.4500 ,             
SPT 3-G            ,          ,     975.0 ,           ,    1201.3300 ,      38.9900 ,      38.9900 ,             
SPT 3-G            ,          ,    1025.0 ,           ,    1003.9800 ,      33.7100 ,      33.7100 ,             
SPT 3-G            ,          ,    1075.0 ,           ,    1219.0100 ,      35.1300 ,      35.1300 ,             
SPT 3-G            ,          ,    1125.0 ,           ,    1231.4000 ,      36.3500 ,      36.3500 ,             
SPT 3-G            ,          ,    1175.0 ,           ,    1202.4600 ,      36.9900 ,      36.9900 ,             
SPT 3-G            ,          ,    1225.0 ,           ,     907.0700 ,      28.3000 ,      28.3000 ,             
SPT 3-G            ,          ,    1275.0 ,           ,     771.7500 ,      22.6900 ,      22.6900 ,             
SPT 3-G            ,          ,    1325.0 ,           ,     727.8400 ,      21.0500 ,      21.0500 ,             
SPT 3-G            ,          ,    1375.0 ,           ,     771.5600 ,      24.0200 ,      24.0200 ,             
SPT 3-G            ,          ,    1425.0 ,           ,     800.5900 ,      23.8800 ,      23.8800 ,             
SPT 3-G            ,          ,    1475.0 ,           ,     748.6000 ,      21.5600 ,      21.5600 ,             
SPT 3-G            ,          ,    1525.0 ,           ,     623.7600 ,      18.8100 ,      18.8100 ,             
SPT 3-G            ,          ,    1575.0 ,           ,     485.7700 ,      13.9300 ,      13.9300 ,             
SPT 3-G            ,          ,    1625.0 ,           ,     404.6000 ,      12.9500 ,      12.9500 ,             
SPT 3-G            ,          ,    1675.0 ,           ,     392.8400 ,      11.1300 ,      11.1300 ,             
SPT 3-G            ,          ,    1725.0 ,           ,     393.1000 ,      12.4600 ,      12.4600 ,             
SPT 3-G            ,          ,    1775.0 ,           ,     374.2600 ,      11.3100 ,      11.3100 ,             
SPT 3-G            ,          ,    1825.0 ,           ,     353.0000 ,      10.1700 ,      10.1700 ,             
SPT 3-G            ,          ,    1875.0 ,           ,     267.7400 ,       9.0100 ,       9.0100 ,             
SPT 3-G            ,          ,    1925.0 ,           ,     227.9300 ,       7.7600 ,       7.7600 ,             
SPT 3-G            ,          ,    1975.0 ,           ,     234.8000 ,       7.4700 ,       7.4700 ,             
SPT 3-G            ,          ,    2050.0 ,           ,     222.4100 ,       3.9700 ,       3.9700 ,             
SPT 3-G            ,          ,    2150.0 ,           ,     168.3200 ,       3.5300 ,       3.5300 ,             
SPT 3-G            ,          ,    2250.0 ,           ,     120.6700 ,       2.6400 ,       2.6400 ,             
SPT 3-G            ,          ,    2350.0 ,           ,     111.7800 ,       2.4400 ,       2.4400 ,             
SPT 3-G            ,          ,    2450.0 ,           ,      88.8700 ,       2.1600 ,       2.1600 ,             
SPT 3-G            ,          ,    2550.0 ,           ,      68.4400 ,       1.9200 ,       1.9200 ,             
SPT 3-G            ,          ,    2650.0 ,           ,      60.3100 ,       1.7800 ,       1.7800 ,             
SPT 3-G            ,          ,    2750.0 ,           ,      50.1300 ,       1.6900 ,       1.6900 ,             
SPT 3-G            ,          ,    2850.0 ,           ,      38.4200 ,       1.5500 ,       1.5500 ,             
SPT 3-G            ,          ,    2950.0 ,           ,      31.5100 ,       1.5100 ,       1.5100 ,  


# l                Dl               -dDl             +dDl             BestFit          
  4.77112240e+01   1.47933552e+03   5.07654876e+01   5.07654876e+01   1.46111304e+03
  7.64716065e+01   2.03496833e+03   5.47101576e+01   5.47101576e+01   2.06238073e+03
  1.05917385e+02   2.95539416e+03   6.49766440e+01   6.49766440e+01   2.90452526e+03
  1.35605348e+02   3.86951392e+03   7.69143744e+01   7.69143744e+01   3.90248963e+03
  1.65405597e+02   4.88946506e+03   8.65856259e+01   8.65856259e+01   4.86135537e+03
  1.95266870e+02   5.46410945e+03   9.05533459e+01   9.05533459e+01   5.53480715e+03
  2.25164945e+02   5.79343954e+03   8.71348811e+01   8.71348811e+01   5.72693135e+03
  2.55086908e+02   5.37288375e+03   7.69383697e+01   7.69383697e+01   5.37498113e+03
  2.85025248e+02   4.62767753e+03   6.25199141e+01   6.25199141e+01   4.58832266e+03
  3.14975304e+02   3.60423851e+03   4.71589439e+01   4.71589439e+01   3.59689801e+03
  3.44934027e+02   2.63120029e+03   3.38762191e+01   3.38762191e+01   2.66745188e+03
  3.74899344e+02   2.03305943e+03   2.48190562e+01   2.48190562e+01   2.01816864e+03
  4.04869791e+02   1.75336253e+03   2.07109083e+01   2.07109083e+01   1.74834025e+03
  4.34844309e+02   1.78757901e+03   2.06713695e+01   2.06713695e+01   1.82192489e+03
  4.64822111e+02   2.16204649e+03   2.27523861e+01   2.27523861e+01   2.09823728e+03
  4.94802601e+02   2.42208480e+03   2.49726104e+01   2.49726104e+01   2.39772998e+03
  5.24785320e+02   2.57348050e+03   2.59184118e+01   2.59184118e+01   2.57144487e+03
  5.54769905e+02   2.54629768e+03   2.50510538e+01   2.50510538e+01   2.55180645e+03
  5.84756069e+02   2.36064530e+03   2.27209283e+01   2.27209283e+01   2.36436140e+03
  6.14743583e+02   2.09543505e+03   1.98505488e+01   1.98505488e+01   2.10480607e+03
  6.44732258e+02   1.88467698e+03   1.75025264e+01   1.75025264e+01   1.89096016e+03
  6.74721939e+02   1.81316288e+03   1.64306044e+01   1.64306044e+01   1.81252216e+03
  7.04712498e+02   1.88319393e+03   1.67990643e+01   1.67990643e+01   1.89672650e+03
  7.34703827e+02   2.09713072e+03   1.81645476e+01   1.81645476e+01   2.10225612e+03
  7.64695836e+02   2.31873584e+03   1.97363538e+01   1.97363538e+01   2.33880907e+03
  7.94688447e+02   2.46458129e+03   2.07062220e+01   2.07062220e+01   2.50417440e+03
  8.24681596e+02   2.52191260e+03   2.05197620e+01   2.05197620e+01   2.52277302e+03
  8.54675226e+02   2.39412077e+03   1.90381031e+01   1.90381031e+01   2.37141912e+03
  8.84669287e+02   2.08333867e+03   1.65790348e+01   1.65790348e+01   2.08335227e+03
  9.14663738e+02   1.74072841e+03   1.37374917e+01   1.37374917e+01   1.73253226e+03
  9.44658541e+02   1.41867342e+03   1.11420483e+01   1.11420483e+01   1.40502882e+03
  9.74653663e+02   1.17295424e+03   9.28646475e+00   9.28646475e+00   1.17014623e+03
  1.00464908e+03   1.06240462e+03   8.37987000e+00   8.37987000e+00   1.05887288e+03
  1.03464476e+03   1.04786241e+03   8.30074773e+00   8.30074773e+00   1.05936420e+03
  1.06464068e+03   1.13235191e+03   8.68575434e+00   8.68575434e+00   1.12669220e+03
  1.09463683e+03   1.21101851e+03   9.11274984e+00   9.11274984e+00   1.20298244e+03
  1.12463318e+03   1.23187224e+03   9.26050628e+00   9.26050628e+00   1.23858790e+03
  1.15462972e+03   1.20578050e+03   8.98528122e+00   8.98528122e+00   1.20804315e+03
  1.18462643e+03   1.11792662e+03   8.33171031e+00   8.33171031e+00   1.11502109e+03
  1.21462331e+03   9.68422243e+02   7.54508665e+00   7.54508665e+00   9.86438951e+02
  1.24462034e+03   8.64397967e+02   6.64322644e+00   6.64322644e+00   8.59469330e+02
  1.27461751e+03   7.61605936e+02   5.98585735e+00   5.98585735e+00   7.66845300e+02
  1.30461481e+03   7.32339633e+02   5.68666086e+00   5.68666086e+00   7.25319871e+02
  1.33461223e+03   7.37290337e+02   5.71800485e+00   5.71800485e+00   7.31898515e+02
  1.36460976e+03   7.74925851e+02   5.94089388e+00   5.94089388e+00   7.67047643e+02
  1.39460740e+03   8.06625346e+02   6.17243469e+00   6.17243469e+00   8.03588527e+02
  1.42460514e+03   8.09057064e+02   6.25632882e+00   6.25632882e+00   8.16784389e+02
  1.45460297e+03   7.77751089e+02   6.11143430e+00   6.11143430e+00   7.92658706e+02
  1.48460089e+03   7.28943580e+02   5.74544667e+00   5.74544667e+00   7.31230681e+02
  1.51459890e+03   6.48288645e+02   5.24258624e+00   5.24258624e+00   6.44972815e+02
  1.54459698e+03   5.51286111e+02   4.72393254e+00   4.72393254e+00   5.52838213e+02
  1.57459513e+03   4.76600995e+02   4.30079600e+00   4.30079600e+00   4.73410287e+02
  1.60459335e+03   4.19541270e+02   4.04442416e+00   4.04442416e+00   4.18888542e+02
  1.63459164e+03   3.95211496e+02   3.96833591e+00   3.96833591e+00   3.92152600e+02
  1.66458999e+03   3.91657847e+02   4.03423921e+00   4.03423921e+00   3.87313797e+02
